2021-10-22,58.0,65.0,61.5,Dhaka
2021-10-23,55.0,65.0,60.0,Dhaka
2021-10-24,55.0,60.0,57.5,Dhaka
2021-10-26,60.0,65.0,62.5,Dhaka
2021-10-27,60.0,65.0,62.5,Dhaka
2021-10-28,60.0,65.0,62.5,Dhaka
2021-10-30,58.0,60.0,59.0,Dhaka
2021-11-01,55.0,60.0,57.5,Dhaka
2021-11-02,55.0,60.0,57.5,Dhaka
2021-11-03,55.0,60.0,57.5,Dhaka
2021-11-04,52.0,60.0,56.0,Dhaka
2021-11-06,52.0,65.0,58.5,Dhaka
2021-11-08,50.0,60.0,55.0,Dhaka
2021-11-09,55.0,65.0,60.0,Dhaka
2021-11-10,55.0,60.0,57.5,Dhaka
2021-11-13,55.0,65.0,60.0,Dhaka
2021-11-14,55.0,65.0,60.0,Dhaka
2021-11-15,60.0,65.0,62.5,Dhaka
2021-11-17,60.0,65.0,62.5,Dhaka
2021-11-18,55.0,65.0,60.0,Dhaka
2021-11-19,55.0,65.0,60.0,Dhaka
2021-11-22,55.0,65.0,60.0,Dhaka
2021-11-24,55.0,60.0,57.5,Dhaka
2021-11-26,55.0,60.0,57.5,Dhaka
2021-11-27,55.0,60.0,57.5,Dhaka
2021-11-28,50.0,55.0,52.5,Dhaka
2021-11-30,50.0,55.0,52.5,Dhaka
2021-12-01,50.0,55.0,52.5,Dhaka
2021-12-02,50.0,55.0,52.5,Dhaka
2021-12-03,50.0,55.0,52.5,Dhaka
2021-12-04,50.0,55.0,52.5,Dhaka
2021-12-05,55.0,65.0,60.0,Dhaka
2021-12-09,65.0,80.0,72.5,Dhaka
2021-12-10,65.0,80.0,72.5,Dhaka
2021-12-12,50.0,80.0,65.0,Dhaka
2021-12-13,50.0,75.0,62.5,Dhaka
2021-12-17,50.0,65.0,57.5,Dhaka
2021-12-18,50.0,65.0,57.5,Dhaka
2021-12-19,45.0,60.0,52.5,Dhaka
2021-12-20,40.0,60.0,50.0,Dhaka
2021-12-22,40.0,60.0,50.0,Dhaka
2021-12-24,40.0,65.0,52.5,Dhaka
2021-12-26,40.0,60.0,50.0,Dhaka
2021-12-27,40.0,60.0,50.0,Dhaka
2021-12-29,35.0,55.0,45.0,Dhaka
2021-12-31,40.0,50.0,45.0,Dhaka
2022-01-02,35.0,50.0,42.5,Dhaka
2022-01-03,35.0,50.0,42.5,Dhaka
2022-01-04,38.0,50.0,44.0,Dhaka
2022-01-07,40.0,50.0,45.0,Dhaka
2022-01-13,35.0,45.0,40.0,Dhaka
